Requirement ID,Requirement Text,Epic (Req),Story Id,User Story,Epic (Story),Alignment Score,Needs Review,Citations,Test Case Count,Coverage Status
5.4.1.2,.AJ gives approval of database schema,General,4b3aa627-8d93-433f-9189-fcd1de80e9c8,"As a Clinician, I want the application to communicate with the server over SSL so that patient data is transmitted securely.",,0.0,True,p15:5.3.2.1.All communication between the server and Clinician Application will be d,1,✅ Covered
5.4.2,.Application,General,dcca3410-e2cd-48f3-8658-325a412eb531,"As a Nurse, I want to update patient vitals, so that the EHR contains the most current patient information.",,0.0,True,p4:The Trillium Health Day Health Manager is a system primarily used to assist Day ,1,✅ Covered
5.4.2.1,.Clinician application is rated at ⅘ or above by at least 85% of clinicians for aesthetics,General,ef30b23c-d3b7-44b4-bae4-b205defa015b,"As a Doctor, I want the Clinician Application to have a high aesthetic rating so that I find it visually appealing and easy to use.",,0.438,False,"p16:5.4.2.1.Clinician application is rated at ⅘ or above by at least 85% of clinicia; p16:Appendix A: Glossary
1.The term “Clinician Portal” or “CP” refers to the web­bas",1,✅ Covered
5.4.2.2,.Clinician application is rated at ⅘ or above by at least 80% of clinicians for ease of use,General,9dba99a4-e4ce-4562-bd61-fe8e4cebee06,"As a Doctor, I want the Clinician application to be easy to use so that I can efficiently review patient data and improve patient care.",,0.35,False,p16:5.4.2.3.Clinician application is rated at ⅘ or above by at least 90% of clinicia; p14:5.1.2.1.No page shall take more than 2 seconds to access with only one user onli,2,✅ Covered
5.4.2.3,.Clinician application is rated at ⅘ or above by at least 90% of clinicians for ease of learning,General,6fccb2f0-462d-435f-ae62-4cdbba4c7571,"As a Doctor, I want the Clinician application to be easy to learn so that I can quickly access and interpret patient data.",,0.242,False,p8:Clinician Technical Skill: Low to medium Frequency of Use: Multiple times per da; p16:5.4.2.3.Clinician application is rated at ⅘ or above by at least 90% of clinicia,2,✅ Covered
5.4.3,.Session App,General,85a4042f-8972-40b9-8def-ef8d803315ab,"As a user, I want to add, modify, or check patient data stored in the system so that I can manage patient information effectively.",,0.0,True,"p5:user can add, modify, or check any patient data stored in the system.",1,✅ Covered
5.4.3.1,.Session app is rated at ⅘ or above by at least 85% of facilitators for aesthetics,General,3414fb1b-9417-4da1-ad75-5a99e7eaafc4,"As a Facilitator, I want the Session App to have an appealing aesthetic so that I can effectively engage users during sessions.",,1.0,False,p16:5.4.3.1.Session app is rated at ⅘ or above by at least 85% of facilitators for a,1,✅ Covered
5.4.3.2,.Session app is rated at ⅘ or above by at least 80% of facilitators for ease of use,General,aef5a6f5-4f05-4edc-b7cc-0cc2400483e1,"As a Nurse, I want to be able to easily add and modify patient data, so that I can accurately maintain patient records.",,0.32,False,"p5:user can add, modify, or check any patient data stored in the system.; p8:The Portal shall support auditing of Documents and other data with the following; p16:Session app is rated at ⅘ or above by at least 80% of facilitators for ease of u",2,✅ Covered
5.4.3.3,.Session app is rated at ⅘ or above by at least 90% of facilitators for ease of learning Appendix A: Glossary,General,0d1844fe-1194-402f-982c-5ef87217e3f4,"As a Facilitator, I want the Session App to be easy to learn so that I can quickly and effectively use it to manage sessions.",,0.8,False,p16:5.4.3.3.Session app is rated at ⅘ or above by at least 90% of facilitators for e,2,✅ Covered
1,.The term “Clinician Portal” or “CP” refers to the web­based user interface that most clinic workers will use to interact with the database. This may be referred to as the “Desktop Application” in older documentation.,General,2630be87-92a0-4589-a775-c5f4e26e35e2,"As a Day Health Staff, I want to digitize patient assessments and care plans, so that I can automate tracking of individuals through the program and improve the current physical workflow.",,0.016,True,"p4:The Trillium Health Day Health Manager is a system primarily used to assist Day ; p4:An important assistive activity the system provides is to digitize what are curr; p4:As an improvement to the current physical workflow, the system will automate tra",2,✅ Covered
1,.The term “Clinician Portal” or “CP” refers to the web­based user interface that most clinic workers will use to interact with the database. This may be referred to as the “Desktop Application” in older documentation.,General,4cacda81-286c-46f1-be12-7ff5626221dd,"As a Doctor, I want to easily access patient assessments and care plans in a digitized format so that I can efficiently track and manage patient care within the Day Health program.",,0.145,True,p4:The Trillium Health Day Health Manager is a system primarily used to assist Day ; p16:The term “Clinician Portal” or “CP” refers to the web­based user interface th,1,✅ Covered
